time,scanner,advertiser,power,rssi
2022-02-06T15:26:21Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:21Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:21Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:22Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:22Z,1718992394932994344,414089200665806602,-7,-72
2022-02-06T15:26:22Z,1718992394932994344,414089200665806602,-7,-72
2022-02-06T15:26:22Z,1718992394932994344,414089200665806602,-7,-72
2022-02-06T15:26:22Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:23Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:23Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:23Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:24Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:24Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:24Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:25Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:25Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:25Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:25Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:25Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:25Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:26Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:26Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:26Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:26Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:26Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:27Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:27Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:12Z,414089200665806602,1718992394932994344,-11,-80
2022-02-06T15:26:13Z,414089200665806602,1718992394932994344,-11,-76
2022-02-06T15:26:13Z,414089200665806602,1718992394932994344,-11,-81
2022-02-06T15:26:14Z,414089200665806602,1718992394932994344,-11,-78
2022-02-06T15:26:14Z,414089200665806602,1718992394932994344,-11,-78
2022-02-06T15:26:14Z,414089200665806602,1718992394932994344,-11,-82
2022-02-06T15:26:14Z,414089200665806602,1718992394932994344,-11,-80
2022-02-06T15:26:15Z,414089200665806602,1718992394932994344,-11,-82
2022-02-06T15:26:27Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:27Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:27Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:27Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:28Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:28Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:28Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:28Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:29Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:29Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:33Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:33Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:33Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:34Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:34Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:34Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:34Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:34Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:34Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:35Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:35Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:35Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:35Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:35Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:35Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:35Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:36Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:36Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:36Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:37Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:37Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:37Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:37Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:37Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:37Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:38Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:38Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:38Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:38Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:38Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:38Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:39Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:39Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:39Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:39Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:40Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:40Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:40Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:40Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:40Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:40Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:41Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:41Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:41Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:41Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:41Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:41Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:42Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:42Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:42Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:42Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:42Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:42Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:42Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:43Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:43Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:43Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:43Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:44Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:44Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:44Z,1718992394932994344,414089200665806602,-7,-68
2022-02-06T15:26:44Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:44Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:44Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:44Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:45Z,1718992394932994344,414089200665806602,-7,-69
2022-02-06T15:26:45Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:45Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:45Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:46Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:46Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:46Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:46Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:47Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:47Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:47Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:47Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:47Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:48Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:48Z,1718992394932994344,414089200665806602,-7,-71
2022-02-06T15:26:48Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:48Z,1718992394932994344,414089200665806602,-7,-70
2022-02-06T15:26:48Z,1718992394932994344,414089200665806602,-7,-71
